NoEntry0, 159.0000, 243.0000, 44.0000, 42.0000 
NoEntry0, 608.0000, 240.0000, 42.0000, 48.0000 
NoEntry1, 171.0000, 104.0000, 80.0000, 106.0000 
NoEntry2, 366.0000, 138.0000, 132.0000, 134.0000 
NoEntry3, 20.0000, 0.0000, 86.0000, 86.0000 
NoEntry3, 412.0000, 7.0000, 178.0000, 186.0000 
NoEntry4, 195.0000, 182.0000, 45.0000, 43.0000 
NoEntry4, 743.0000, 209.0000, 42.0000, 49.0000 
NoEntry5, 126.0000, 313.0000, 37.0000, 43.0000 
NoEntry5, 307.0000, 332.0000, 28.0000, 35.0000 
NoEntry5, 430.0000, 345.0000, 25.0000, 30.0000 
NoEntry5, 523.0000, 353.0000, 22.0000, 29.0000 
NoEntry5, 595.0000, 361.0000, 18.0000, 27.0000 
NoEntry5, 651.0000, 366.0000, 16.0000, 24.0000 
NoEntry5, 694.0000, 374.0000, 17.0000, 20.0000 
NoEntry5, 733.0000, 378.0000, 15.0000, 21.0000 
NoEntry5, 843.0000, 382.0000, 16.0000, 19.0000 
NoEntry5, 866.0000, 383.0000, 13.0000, 17.0000 
NoEntry6, 183.0000, 318.0000, 143.0000, 146.0000 
NoEntry6, 387.0000, 210.0000, 191.0000, 211.0000 
NoEntry6, 597.0000, 232.0000, 170.0000, 213.0000 
NoEntry6, 804.0000, 413.0000, 45.0000, 129.0000 
NoEntry7, 550.0000, 173.0000, 41.0000, 39.0000 
NoEntry8, 196.0000, 81.0000, 100.0000, 97.0000 
NoEntry8, 148.0000, 179.0000, 56.0000, 59.0000 
NoEntry8, 106.0000, 239.0000, 42.0000, 40.0000 
NoEntry8, 86.0000, 261.0000, 32.0000, 33.0000 
NoEntry8, 76.0000, 276.0000, 25.0000, 26.0000 
NoEntry8, 69.0000, 295.0000, 19.0000, 19.0000 
NoEntry9, 467.0000, 576.0000, 58.0000, 54.0000 
NoEntry9, 732.0000, 852.0000, 17.0000, 18.0000 
NoEntry10, 233.0000, 134.0000, 78.0000, 83.0000 
NoEntry10, 506.0000, 149.0000, 86.0000, 94.0000 
NoEntry10, 574.0000, 172.0000, 55.0000, 65.0000 
NoEntry11, 52.0000, 218.0000, 60.0000, 57.0000 
NoEntry11, 443.0000, 162.0000, 88.0000, 85.0000 
NoEntry12, 98.0000, 241.0000, 81.0000, 80.0000 
NoEntry12, 240.0000, 183.0000, 53.0000, 56.0000 
NoEntry12, 294.0000, 119.0000, 32.0000, 43.0000 
NoEntry12, 435.0000, 85.0000, 28.0000, 33.0000 
NoEntry12, 624.0000, 69.0000, 18.0000, 30.0000 
NoEntry12, 657.0000, 116.0000, 43.0000, 48.0000 
NoEntry12, 738.0000, 171.0000, 28.0000, 63.0000 
NoEntry12, 817.0000, 250.0000, 82.0000, 81.0000 
NoEntry13, 384.0000, 576.0000, 51.0000, 56.0000 
NoEntry14, 431.0000, 287.0000, 59.0000, 61.0000 
NoEntry15, 327.0000, 124.0000, 53.0000, 55.0000 
NoEntry15, 389.0000, 124.0000, 54.0000, 54.0000 
